;Title;Genre;Actors
0;Jane Got a Gun;Action, Drama, Western            ;Natalie Portman, Joel Edgerton, Ewan McGregor, Rodrigo Santoro
1;The Revenant;Action, Adventure, Biography            ;Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson
2;Star Wars: Episode VII - The Force Awakens;Action, Adventure, Sci-Fi            ;Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson
3;Joy;Drama            ;Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez
4;Sisters;Comedy            ;Amy Poehler, Tina Fey, Maya Rudolph, Ike Barinholtz
5;The Hateful Eight;Crime, Drama, Mystery            ;Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins
6;Alvin and the Chipmunks: The Road Chip;Animation, Adventure, Comedy            ;Jason Lee, Justin Long, Matthew Gray Gubler, Jesse McCartney
7;In the Heart of the Sea;Action, Adventure, Biography            ;Chris Hemsworth, Cillian Murphy, Brendan Gleeson, Ben Whishaw
8;Point Break;Action, Crime, Sport            ;Edgar Ramírez, Luke Bracey, Ray Winstone, Teresa Palmer
9;Krampus;Comedy, Drama, Fantasy            ;Adam Scott, Toni Collette, David Koechner, Allison Tolman
10;The Night Before;Comedy, Fantasy            ;Joseph Gordon-Levitt, Seth Rogen, Jillian Bell, Lizzy Caplan
11;The Good Dinosaur;Animation, Adventure, Comedy            ;Jeffrey Wright, Frances McDormand, Maleah Nipay-Padilla, Ryan Teeple
12;Victor Frankenstein;Drama, Horror, Sci-Fi            ;Daniel Radcliffe, James McAvoy, Jessica Brown Findlay, Andrew Scott
13;By the Sea;Drama, Romance            ;Brad Pitt, Angelina Jolie, Mélanie Laurent, Melvil Poupaud
14;The Hunger Games: Mockingjay - Part 2;Action, Adventure, Sci-Fi            ;Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson
15;Love the Coopers;Comedy, Fantasy, Romance            ;Steve Martin, Diane Keaton, John Goodman, Ed Helms
16;Spectre;Action, Adventure, Thriller            ;Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes
17;Scouts Guide to the Zombie Apocalypse;Action, Comedy, Horror            ;Tye Sheridan, Logan Miller, Joey Morgan, Sarah Dumont
18;Rock the Kasbah;Comedy, Music, War            ;Bill Murray, Leem Lubany, Zooey Deschanel, Bruce Willis
19;Paranormal Activity: The Ghost Dimension;Horror, Mystery, Thriller            ;Chris J. Murray, Brit Shaw, Ivy George, Dan Gill
20;The Peanuts Movie;Animation, Adventure, Comedy            ;Noah Schnapp, Bill Melendez, Hadley Belle Miller, Francesca Capaldi
21;The Last Witch Hunter;Action, Adventure, Fantasy            ;Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson
22;Miles Ahead;Biography, Drama, Music            ;Don Cheadle, Emayatzy Corinealdi, Ewan McGregor, Michael Stuhlbarg
23;Bridge of Spies;Drama, History, Thriller            ;Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan
24;Goosebumps;Adventure, Comedy, Family            ;Jack Black, Dylan Minnette, Odeya Rush, Ryan Lee
25;Bone Tomahawk;Drama, Horror, Western            ;Kurt Russell, Patrick Wilson, Matthew Fox, Richard Jenkins
26;Bone Tomahawk;Drama, Horror, Western            ;Kurt Russell, Patrick Wilson, Matthew Fox, Richard Jenkins
27;The Walk;Adventure, Biography, Drama            ;Joseph Gordon-Levitt, Charlotte Le Bon, Guillaume Baillargeon, Émilie Leclerc
28;Crimson Peak;Drama, Fantasy, Horror            ;Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam
29;Pan;Adventure, Comedy, Family            ;Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara
30;Regression;Crime, Horror, Mystery            ;Ethan Hawke, David Thewlis, Emma Watson, Dale Dickey
31;Freeheld;Biography, Drama, Romance            ;Julianne Moore, Ellen Page, Steve Carell, Michael Shannon
32;The Martian;Adventure, Drama, Sci-Fi            ;Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara
33;A Bigger Splash;Drama, Thriller            ;Tilda Swinton, Matthias Schoenaerts, Ralph Fiennes, Dakota Johnson
34;Steve Jobs;Biography, Drama            ;Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels
35;Equals;Drama, Romance, Sci-Fi            ;Nicholas Hoult, Kristen Stewart, Vernetta Lopez, Scott Lawrence
36;Beasts of No Nation;Drama, War            ;Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor, Andrew Adote
37;Solace;Crime, Drama, Mystery            ;Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish, Colin Farrell
38;Solace;Crime, Drama, Mystery            ;Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish, Colin Farrell
39;Everest;Action, Adventure, Biography            ;Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson
40;Maze Runner: The Scorch Trials;Action, Adventure, Sci-Fi            ;Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Giancarlo Esposito
41;The Visit;Horror, Mystery, Thriller            ;Olivia DeJonge, Ed Oxenbould, Deanna Dunagan, Peter McRobbie
