Rank;Title;Genre;Actors
1;Guardians of the Galaxy;Action,Adventure,Sci-Fi;Chris Pratt| Vin Diesel| Bradley Cooper| Zoe Saldana
2;Prometheus;Adventure,Mystery,Sci-Fi;Noomi Rapace| Logan Marshall-Green| Michael Fassbender| Charlize Theron
3;Split;Horror,Thriller;James McAvoy| Anya Taylor-Joy| Haley Lu Richardson| Jessica Sula
4;Sing;Animation,Comedy,Family;Matthew McConaughey|Reese Witherspoon| Seth MacFarlane| Scarlett Johansson
5;Suicide Squad;Action,Adventure,Fantasy;Will Smith| Jared Leto| Margot Robbie| Viola Davis
6;The Great Wall;Action,Adventure,Fantasy;Matt Damon| Tian Jing| Willem Dafoe| Andy Lau
7;La La Land;Comedy,Drama,Music;Ryan Gosling| Emma Stone| Rosemarie DeWitt| J.K. Simmons
8;Mindhorn;Comedy;Essie Davis| Andrea Riseborough| Julian Barratt|Kenneth Branagh
9;The Lost City of Z;Action,Adventure,Biography;Charlie Hunnam| Robert Pattinson| Sienna Miller| Tom Holland
10;Passengers;Adventure,Drama,Romance;Jennifer Lawrence| Chris Pratt| Michael Sheen|Laurence Fishburne
11;Fantastic Beasts and Where to Find Them;Adventure,Family,Fantasy;Eddie Redmayne| Katherine Waterston| Alison Sudol|Dan Fogler
12;Hidden Figures;Biography,Drama,History;Taraji P. Henson| Octavia Spencer| Janelle Monáe|Kevin Costner
13;Rogue One;Action,Adventure,Sci-Fi;Felicity Jones| Diego Luna| Alan Tudyk| Donnie Yen
14;Moana;Animation,Adventure,Comedy;Auli'i Cravalho| Dwayne Johnson| Rachel House| Temuera Morrison
15;Colossal;Action,Comedy,Drama;Anne Hathaway| Jason Sudeikis| Austin Stowell|Tim Blake Nelson
16;The Secret Life of Pets;Animation,Adventure,Comedy;Louis C.K.| Eric Stonestreet| Kevin Hart| Lake Bell
17;Hacksaw Ridge;Biography,Drama,History;Andrew Garfield| Sam Worthington| Luke Bracey|Teresa Palmer
18;Jason Bourne;Action,Thriller;Matt Damon| Tommy Lee Jones| Alicia Vikander|Vincent Cassel
19;Lion;Biography,Drama;Dev Patel| Nicole Kidman| Rooney Mara| Sunny Pawar
20;Arrival;Drama,Mystery,Sci-Fi;Amy Adams| Jeremy Renner| Forest Whitaker|Michael Stuhlbarg
21;Gold;Adventure,Drama,Thriller;Matthew McConaughey| Edgar Ramírez| Bryce Dallas Howard| Corey Stoll
22;Manchester by the Sea;Drama;Casey Affleck| Michelle Williams| Kyle Chandler|Lucas Hedges
23;Hounds of Love;Crime,Drama,Horror;Emma Booth| Ashleigh Cummings| Stephen Curry|Susie Porter
24;Trolls;Animation,Adventure,Comedy;Anna Kendrick| Justin Timberlake|Zooey Deschanel| Christopher Mintz-Plasse
25;Independence Day: Resurgence;Action,Adventure,Sci-Fi;Liam Hemsworth| Jeff Goldblum| Bill Pullman|Maika Monroe
26;Paris pieds nus;Comedy;Fiona Gordon| Dominique Abel|Emmanuelle Riva| Pierre Richard
27;Bahubali: The Beginning;Action,Adventure,Drama;Prabhas| Rana Daggubati| Anushka Shetty|Tamannaah Bhatia
28;Dead Awake;Horror,Thriller;Jocelin Donahue| Jesse Bradford| Jesse Borrego|Lori Petty
29;Bad Moms;Comedy;Mila Kunis| Kathryn Hahn| Kristen Bell|Christina Applegate
